date,close,close1
18-Feb-15,20.945,Q1 2015
19-Feb-15,21.315,
20-Feb-15,21.15,
23-Feb-15,21.39,
24-Feb-15,21.56,
25-Feb-15,21.56,
26-Feb-15,21.775,
27-Feb-15,21.815,
02-Mar-15,20.74,
03-Mar-15,21.035,
04-Mar-15,21.405,
05-Mar-15,21.615,
06-Mar-15,21.56,
09-Mar-15,21.52,
10-Mar-15,21.6,
11-Mar-15,22,
12-Mar-15,21.75,
13-Mar-15,22.005,
16-Mar-15,22.005,
17-Mar-15,21.845,
18-Mar-15,22.045,
19-Mar-15,22.085,
20-Mar-15,22.155,
23-Mar-15,22.895,
24-Mar-15,23.05,
25-Mar-15,23.085,
26-Mar-15,22.96,
27-Mar-15,22.695,
30-Mar-15,23.1,
31-Mar-15,23.125,
01-Apr-15,23.5,Q2 2015
02-Apr-15,23.23,
07-Apr-15,23.515,
08-Apr-15,23.66,
09-Apr-15,23.885,
10-Apr-15,24.135,
13-Apr-15,24.235,
14-Apr-15,23.95,
15-Apr-15,23.85,
16-Apr-15,23.725,
17-Apr-15,23.43,
20-Apr-15,23.73,
21-Apr-15,22.89,
22-Apr-15,22.875,
23-Apr-15,22.96,
24-Apr-15,23.09,
27-Apr-15,23.12,
28-Apr-15,22.805,
29-Apr-15,22.27,
30-Apr-15,22.415,
04-May-15,22.415,
05-May-15,22.01,
06-May-15,22.085,
07-May-15,22,
08-May-15,22.75,
11-May-15,22.675,
12-May-15,22.365,
13-May-15,22.25,
14-May-15,22.5,
15-May-15,22.35,
18-May-15,22.255,
19-May-15,22.515,
20-May-15,22.97,
21-May-15,22.915,
22-May-15,23.175,
25-May-15,23.06,
26-May-15,23.385,
27-May-15,23.66,
28-May-15,23.555,
29-May-15,23.19,
01-Jun-15,23.38,
02-Jun-15,23.52,
03-Jun-15,23.63,
04-Jun-15,23.36,
05-Jun-15,23.55,
08-Jun-15,23.585,
09-Jun-15,23.84,
10-Jun-15,23.97,
11-Jun-15,23.8,
12-Jun-15,23.69,
15-Jun-15,23.6,
16-Jun-15,23.585,
17-Jun-15,23.725,
18-Jun-15,23.49,
19-Jun-15,23.295,
22-Jun-15,24.125,
23-Jun-15,24.52,
24-Jun-15,24.4,
25-Jun-15,23.83,
26-Jun-15,23.555,
29-Jun-15,22.91,
30-Jun-15,22.625,
01-Jul-15,23.185,Q3 2015
02-Jul-15,22.975,
03-Jul-15,22.665,
06-Jul-15,22.255,
07-Jul-15,21.775,
08-Jul-15,22.325,
09-Jul-15,22.71,
10-Jul-15,23.38,
13-Jul-15,24.265,
14-Jul-15,24.29,
15-Jul-15,24.5,
16-Jul-15,24.6,
17-Jul-15,24.38,
20-Jul-15,24.455,
21-Jul-15,24.215,
22-Jul-15,24.16,
23-Jul-15,24.18,
24-Jul-15,24.22,
27-Jul-15,23.69,
28-Jul-15,23.675,
29-Jul-15,23.74,
30-Jul-15,23.685,
31-Jul-15,23.935,
03-Aug-15,24.48,
04-Aug-15,24.455,
05-Aug-15,24.45,
06-Aug-15,24.32,
07-Aug-15,23.935,
10-Aug-15,24.275,
11-Aug-15,23.88,
12-Aug-15,23.19,
13-Aug-15,23.3,
14-Aug-15,23.255,
17-Aug-15,23.395,
18-Aug-15,23.395,
19-Aug-15,23.26,
20-Aug-15,22.65,
21-Aug-15,21.8,
24-Aug-15,21.02,
25-Aug-15,22.01,
26-Aug-15,21.94,
27-Aug-15,22.725,
28-Aug-15,22.3,
31-Aug-15,22.045,
01-Sep-15,21.665,
02-Sep-15,21.72,
03-Sep-15,21.69,
04-Sep-15,21.19,
07-Sep-15,21.415,
08-Sep-15,21.525,
09-Sep-15,21.72,
10-Sep-15,21.405,
11-Sep-15,21.02,
14-Sep-15,20.995,
15-Sep-15,21.105,
16-Sep-15,21.44,
17-Sep-15,21.595,
18-Sep-15,21.455,
21-Sep-15,21.49,
22-Sep-15,20.875,
23-Sep-15,21.01,
24-Sep-15,20.53,
25-Sep-15,21.06,
28-Sep-15,20.62,
29-Sep-15,20.45,
30-Sep-15,21.13,
01-Oct-15,20.795,Q4 2015
02-Oct-15,20.65,
05-Oct-15,20.95,
06-Oct-15,21.29,
07-Oct-15,21.39,
08-Oct-15,21.64,
09-Oct-15,21.79,
12-Oct-15,21.66,
13-Oct-15,21.515,
14-Oct-15,21.945,
15-Oct-15,21.87,
16-Oct-15,21.94,
19-Oct-15,21.475,
20-Oct-15,21.645,
21-Oct-15,21.59,
22-Oct-15,21.67,
23-Oct-15,22.49,
26-Oct-15,22.52,
27-Oct-15,22.385,
28-Oct-15,22.14,
29-Oct-15,22.335,
30-Oct-15,21.915,
02-Nov-15,21.8,
03-Nov-15,21.81,
04-Nov-15,21.71,
05-Nov-15,21.68,
06-Nov-15,21.8,
09-Nov-15,21.615,
10-Nov-15,21.645,
11-Nov-15,20.38,
12-Nov-15,20.11,
13-Nov-15,19.945,
16-Nov-15,19.705,
17-Nov-15,20.295,
18-Nov-15,20.175,
19-Nov-15,20.26,
20-Nov-15,20.31,
23-Nov-15,20.11,
24-Nov-15,19.93,
25-Nov-15,20.11,
26-Nov-15,19.95,
27-Nov-15,20.055,
30-Nov-15,19.93,
01-Dec-15,19.99,
02-Dec-15,20.13,
03-Dec-15,19.72,
04-Dec-15,19.6,
07-Dec-15,19.72,
08-Dec-15,19.44,
09-Dec-15,19.26,
10-Dec-15,19.205,
11-Dec-15,19.025,
14-Dec-15,18.805,
15-Dec-15,19.155,
16-Dec-15,19.235,
17-Dec-15,19.425,
18-Dec-15,19.15,
21-Dec-15,18.98,
22-Dec-15,19.04,
23-Dec-15,19.625,
24-Dec-15,19.605,
28-Dec-15,19.53,
29-Dec-15,19.695,
30-Dec-15,19.8,
31-Dec-15,19.86,
04-Jan-16,19.18,Q1 2016
05-Jan-16,19.275,
06-Jan-16,19.06,
07-Jan-16,19.06,
08-Jan-16,18.75,
11-Jan-16,18.72,
12-Jan-16,19.085,
13-Jan-16,19.1,
14-Jan-16,18.83,
15-Jan-16,18.8,
18-Jan-16,18.66,
19-Jan-16,18.835,
20-Jan-16,18.245,
21-Jan-16,18.805,
22-Jan-16,19.565,
25-Jan-16,19.615,
26-Jan-16,19.745,
27-Jan-16,20.09,
28-Jan-16,20.015,
29-Jan-16,20.03,
01-Feb-16,18.96,
02-Feb-16,18.79,
03-Feb-16,18.435,
04-Feb-16,18.11,
05-Feb-16,17.63,
08-Feb-16,16.765,
09-Feb-16,16.8,
10-Feb-16,17.17,
11-Feb-16,16.745,
12-Feb-16,17.235,
15-Feb-16,17.62,
16-Feb-16,17.875,
17-Feb-16,18.245,
18-Feb-16,18.14,
