name,value
Deutsche,-4.46
RBS,-6.71
Barclays,7.82
BNP,9.8
Agricole,9.83
Median,10
Santander,-10.09
HSBC,10.35
UBS,10.82
ABN,10.96
Handelsbanken,-12.44
SEB,13.24
Lloyds,15.13
